Sample,X,Y,Z
527,0.180,0.000,1.102
528,0.125,0.293,0.879
529,0.020,0.039,1.000
530,-0.113,0.020,0.949
531,-0.078,-0.008,0.980
532,0.066,-0.078,1.004
533,0.160,0.105,1.078
534,0.223,0.105,1.023
535,0.328,0.043,1.113
536,0.156,0.184,0.961
537,-0.094,0.145,0.992
538,-0.215,-0.137,1.027
539,-0.160,-0.238,0.922
540,-0.070,0.039,1.020
541,-0.199,0.301,0.875
542,-0.031,0.027,1.082
543,-0.047,-0.152,1.023
544,0.047,0.086,0.984
545,-0.027,0.133,0.984
546,0.039,-0.113,1.043
547,0.109,0.215,0.996
548,0.055,0.047,0.973
549,-0.020,0.078,0.965
550,0.016,-0.055,1.016
551,0.109,-0.082,1.035
552,0.137,0.016,0.949
553,0.195,0.059,1.051
554,0.137,0.340,0.926
555,-0.023,0.117,0.961
556,0.133,-0.035,1.098
557,0.152,-0.133,0.965
558,0.082,-0.184,1.109
559,-0.074,0.203,0.957
560,-0.020,-0.027,1.074
561,-0.023,0.070,0.941
562,0.090,-0.047,1.062
563,-0.094,0.012,0.996
564,-0.199,-0.020,0.957
565,-0.250,-0.004,0.984
566,-0.070,-0.113,0.973
567,0.156,0.055,0.992
568,0.250,0.031,1.141
569,0.035,0.156,0.895
570,-0.117,0.367,0.918
571,-0.133,0.094,0.961
572,0.043,0.000,0.977
573,0.238,0.016,1.105
574,0.031,-0.336,1.047
575,0.047,0.035,0.977
576,-0.035,0.586,0.883
577,0.035,0.062,0.977
578,0.363,-0.023,1.074
579,0.246,-0.227,1.055
580,-0.055,0.137,0.973
581,-0.242,0.098,0.980
582,-0.113,-0.227,1.016
583,0.211,0.105,1.059
584,0.215,-0.109,1.098
585,-0.078,-0.082,0.980
586,-0.254,0.043,0.820
587,-0.090,0.023,1.035
588,0.145,0.145,0.992
589,0.281,0.059,1.113
590,0.004,-0.035,0.984
591,-0.223,-0.012,0.957
592,-0.156,-0.004,0.988
593,0.047,0.074,1.027
594,0.156,0.160,0.984
595,0.070,-0.059,0.984
596,0.027,-0.090,1.113
597,0.035,0.344,0.832
598,0.062,0.289,0.980
599,0.039,0.113,0.957
600,0.215,-0.082,1.090
601,0.188,-0.367,1.129
602,0.004,0.062,0.891
603,-0.023,0.195,1.047
604,-0.020,-0.102,0.992
605,0.059,0.168,1.035
606,-0.172,-0.207,0.977
607,-0.082,-0.215,1.098
608,-0.133,0.164,0.938
609,-0.137,0.156,0.902
610,0.086,0.234,1.055
611,0.316,0.027,1.008
612,0.176,0.055,1.070
613,-0.141,0.199,0.871
614,-0.109,0.051,0.988
615,0.012,-0.070,1.000
616,0.121,-0.012,1.066
617,-0.074,-0.148,0.953
618,-0.086,-0.074,1.062
619,-0.016,0.105,0.891
620,0.188,0.328,0.984
621,0.352,0.207,1.023
622,0.344,-0.281,1.145
623,0.129,-0.109,1.094
624,-0.086,-0.039,1.027
625,-0.172,0.125,0.965
626,-0.070,0.184,0.863
627,0.000,-0.082,1.102
628,-0.074,-0.293,0.961
629,0.012,0.230,1.051
630,0.004,-0.020,0.922
631,0.148,0.324,0.992
632,0.297,0.160,1.000
633,0.285,-0.012,1.031
634,0.070,0.129,1.078
635,-0.184,0.098,0.844
636,-0.109,-0.137,1.023
637,-0.043,0.016,0.980
638,0.023,0.004,1.043
639,-0.043,0.156,0.934
640,-0.031,-0.270,1.031
641,0.152,0.074,1.008
642,0.219,0.426,1.004
643,0.195,0.086,0.992
644,0.207,0.016,1.113
645,-0.066,-0.059,0.988
646,-0.121,-0.109,1.039
647,-0.078,-0.176,1.035
648,-0.047,-0.008,0.988
649,-0.047,0.109,0.828
650,0.078,0.148,1.102
651,0.094,0.156,0.965
652,0.082,-0.105,0.984
653,0.094,0.008,1.059
654,0.043,0.070,1.047
655,-0.078,0.039,0.984
656,-0.035,0.047,0.992
657,-0.094,0.047,0.844
658,0.094,0.109,1.102
659,0.055,-0.086,0.957
660,0.113,-0.062,1.020
661,0.188,0.211,1.086
662,0.031,0.129,0.906
663,0.035,0.215,1.012
664,-0.051,-0.059,0.988
665,-0.004,-0.090,0.953
666,0.070,0.047,1.023
667,0.133,-0.324,1.215
668,0.137,0.051,0.996
669,0.027,0.352,0.973
670,-0.137,0.027,0.930
671,-0.164,0.055,0.977
672,-0.113,-0.109,1.070
673,-0.027,-0.207,0.996
674,0.078,0.055,0.945
675,0.160,0.406,1.066
676,0.195,0.242,0.992
677,0.121,-0.035,0.988
678,-0.141,0.012,0.895
679,-0.105,-0.281,1.098
680,-0.141,-0.172,0.918
681,0.016,0.340,0.934
682,0.043,0.242,1.012
683,0.137,-0.207,1.059
684,0.074,0.129,1.000
685,0.074,0.031,0.863
686,0.168,0.141,1.062
687,0.191,0.238,1.023
688,0.148,-0.133,1.086
689,0.117,-0.145,0.938
690,0.098,0.004,1.109
691,-0.023,0.133,0.969
692,0.004,0.078,1.008
693,0.000,-0.047,0.973
694,0.016,-0.270,1.055
695,-0.055,0.188,0.980
696,-0.156,0.137,0.973
697,-0.082,0.117,1.047
698,0.008,0.117,0.957
699,-0.098,-0.156,1.082
700,-0.262,-0.148,0.887
701,-0.160,0.031,1.066
702,-0.004,0.152,0.965
703,0.141,0.363,0.980
704,0.117,0.066,0.988
705,-0.086,0.070,0.875
706,-0.066,-0.129,1.168
707,-0.031,-0.078,0.859
708,0.184,0.098,1.070
709,0.137,0.152,0.859
710,0.184,0.219,1.125
711,0.098,-0.004,0.914
