Sample,X,Y,Z
566,0.105,-0.332,1.055
567,-0.082,-0.156,0.938
568,-0.148,0.242,1.027
569,-0.020,0.098,0.961
570,0.242,0.137,1.109
571,0.133,-0.191,0.938
572,-0.145,0.102,0.969
573,-0.332,-0.051,0.926
574,-0.102,0.016,1.035
575,0.266,0.062,1.027
576,0.309,0.266,0.961
577,0.148,0.172,1.020
578,0.133,-0.062,1.062
579,-0.012,0.223,0.961
580,0.020,-0.133,1.039
581,-0.012,0.203,0.930
582,-0.121,0.066,0.891
583,-0.148,-0.109,1.102
584,0.020,-0.074,0.938
585,0.219,0.113,1.148
586,0.184,0.105,0.957
587,0.117,0.184,1.051
588,0.012,0.121,1.039
589,-0.137,-0.164,0.949
590,-0.129,-0.035,0.945
591,-0.129,0.180,1.012
592,-0.078,-0.172,0.922
593,0.023,0.039,1.145
594,-0.141,-0.012,0.848
595,0.090,-0.156,1.113
596,0.191,-0.020,1.016
597,0.211,0.238,1.020
598,0.098,0.137,0.930
599,0.004,-0.062,1.008
600,-0.039,0.141,0.938
601,-0.129,0.145,1.000
602,0.098,-0.320,1.078
603,0.129,-0.117,1.074
604,0.129,0.129,0.918
605,0.109,0.383,0.957
606,0.184,0.305,0.980
607,0.316,0.180,1.004
608,0.195,-0.031,1.047
609,-0.184,-0.031,0.961
610,-0.289,-0.285,0.996
611,-0.059,-0.195,1.133
612,0.012,0.320,0.887
613,0.145,-0.031,1.168
614,-0.137,-0.180,0.867
615,-0.281,-0.004,0.965
616,-0.215,0.020,1.000
617,0.055,0.109,1.004
618,0.281,0.098,1.090
619,0.078,-0.082,0.984
620,-0.074,-0.012,1.008
621,-0.051,0.113,0.922
622,0.039,0.246,1.086
623,0.090,0.258,0.750
624,0.238,-0.062,1.164
625,-0.008,-0.277,1.000
626,-0.008,0.203,1.004
627,-0.066,0.105,0.938
628,0.203,0.215,1.012
629,0.391,0.109,1.074
630,0.203,-0.066,0.984
631,0.008,0.102,1.035
632,-0.066,-0.156,1.012
633,0.039,0.082,1.031
634,0.062,0.180,0.980
635,0.012,-0.199,1.074
636,-0.141,-0.078,0.977
637,-0.301,0.016,0.871
638,-0.012,-0.094,1.031
639,-0.012,-0.094,1.031
640,0.191,0.387,0.988
641,0.172,0.129,0.973
642,0.074,0.023,1.016
643,0.000,-0.023,1.070
644,-0.090,-0.195,0.891
645,-0.023,0.105,1.082
646,0.020,0.004,1.031
647,0.016,-0.090,0.984
648,0.043,0.012,0.934
649,-0.059,0.090,0.984
650,0.125,0.059,1.102
651,0.191,0.270,0.941
652,0.105,0.098,0.984
653,0.000,0.180,0.875
654,0.070,0.047,1.082
655,0.234,-0.133,1.020
656,0.223,0.238,1.047
657,0.062,-0.125,1.043
658,-0.062,-0.137,0.988
659,-0.137,0.203,0.980
660,-0.172,-0.016,0.934
661,0.137,0.004,1.000
662,0.199,0.055,1.062
663,0.102,0.062,1.023
664,-0.043,0.141,1.012
665,-0.148,-0.211,1.051
666,-0.109,0.102,0.965
667,-0.117,0.188,0.906
668,-0.176,-0.297,1.016
669,0.016,0.004,0.953
670,0.117,0.207,1.043
671,0.078,0.012,0.996
672,0.184,0.301,0.922
673,0.160,0.129,1.094
674,-0.035,-0.156,0.977
675,0.027,-0.090,1.082
676,0.008,-0.312,0.980
677,0.102,0.145,1.012
678,0.070,0.285,0.891
679,0.164,0.059,1.180
680,0.062,0.102,0.891
681,0.008,-0.086,1.090
682,-0.195,-0.059,0.895
683,-0.051,0.129,1.000
684,0.047,0.035,1.020
685,0.109,0.203,1.039
686,0.117,0.039,1.035
687,-0.059,-0.086,0.898
688,-0.117,-0.043,1.055
689,-0.113,0.039,0.992
690,0.066,-0.082,1.039
691,0.137,0.109,0.980
692,0.039,0.090,0.965
693,-0.066,0.152,1.027
694,-0.105,0.102,0.965
695,0.055,-0.320,1.016
696,0.219,-0.059,0.996
697,0.191,0.328,0.945
698,0.121,0.266,1.078
699,0.020,0.031,0.891
700,0.016,0.105,1.031
701,0.094,-0.320,1.055
702,0.148,-0.156,1.105
703,-0.055,0.121,0.996
704,-0.004,0.090,0.965
705,0.113,0.184,1.051
706,0.043,0.023,1.047
707,-0.086,0.047,0.922
708,-0.242,-0.164,0.996
709,-0.238,-0.141,0.957
710,-0.074,0.270,0.914
711,0.129,0.012,1.109
712,0.152,0.145,0.988
713,0.125,0.207,1.051
714,-0.176,0.094,0.867
715,-0.242,-0.016,0.977
716,-0.207,-0.145,0.965
717,0.023,-0.109,1.121
718,0.047,0.023,0.941
719,0.105,0.062,0.984
720,0.215,0.246,0.914
721,0.254,0.164,1.047
722,0.328,0.078,1.023
723,0.410,-0.004,1.152
724,0.363,-0.133,0.980
725,0.195,0.133,1.102
726,0.098,-0.016,0.984
727,-0.105,0.141,0.840
728,-0.145,-0.086,0.957
729,-0.203,-0.094,1.059
730,-0.137,-0.324,1.004
731,-0.090,-0.160,1.008
732,0.012,0.359,0.906
733,0.086,0.344,1.098
734,0.148,-0.047,1.062
735,0.117,0.047,0.992
736,0.020,-0.195,1.086
737,-0.219,0.137,0.918
738,-0.277,0.129,0.883
739,-0.266,0.133,0.895
740,-0.055,-0.008,1.023
741,0.152,-0.094,1.035
742,0.254,0.016,1.031
743,0.234,0.355,0.965
744,0.277,0.160,1.098
745,0.238,-0.094,1.102
746,-0.078,-0.141,1.074
747,-0.328,0.102,0.711
748,-0.152,0.035,1.027
749,0.180,0.508,0.836
750,0.539,0.008,1.164
751,0.355,-0.125,1.102
752,0.031,-0.277,1.117
753,-0.172,-0.137,1.047
754,-0.270,0.434,0.820
755,-0.086,-0.074,0.988
756,0.062,-0.488,1.219
757,-0.273,-0.137,0.844
758,-0.281,-0.195,1.035
759,-0.035,0.297,0.945
760,0.402,0.672,0.980
761,0.367,0.484,0.996
762,0.207,-0.223,1.090
763,-0.164,-0.277,0.945
764,-0.305,-0.191,0.996
765,-0.117,0.230,0.844
766,0.176,0.383,1.008
767,0.176,0.203,0.914
768,0.180,-0.258,1.188
769,-0.129,-0.305,1.051
770,-0.117,0.203,0.766
771,0.082,0.305,1.121
772,0.230,0.219,0.977
773,0.211,0.043,1.129
774,0.094,-0.422,1.133
775,-0.109,-0.195,0.906
776,-0.039,0.199,0.949
777,0.047,0.430,1.016
778,0.074,-0.023,0.984
779,-0.027,0.074,1.086
780,-0.176,-0.363,0.957
781,-0.191,-0.203,0.945
782,-0.027,0.277,0.969
783,0.109,0.238,0.984
784,0.164,0.168,0.984
785,0.090,-0.188,1.086
786,0.094,-0.070,0.977
787,0.281,0.121,1.055
788,0.168,0.281,1.027
789,-0.016,0.195,0.875
790,-0.184,-0.055,0.969
791,-0.109,-0.473,1.062
792,0.082,0.137,0.973
793,0.102,0.238,0.977
794,0.094,0.449,1.062
795,0.141,-0.113,0.973
796,0.023,-0.070,1.109
797,-0.051,-0.234,0.926
798,0.031,-0.027,1.094
799,-0.020,0.219,0.973
800,-0.172,0.344,0.898
801,-0.133,-0.215,1.055
802,-0.234,-0.039,0.836
803,-0.105,0.133,0.980
804,0.000,0.023,1.035
805,0.262,-0.031,1.117
806,0.273,0.137,0.984
807,0.203,0.000,1.090
808,0.012,-0.113,0.898
809,-0.051,0.160,1.082
810,-0.098,-0.023,0.875
811,0.086,-0.074,1.090
812,0.145,-0.160,0.961
813,0.219,0.223,1.043
814,0.137,0.359,0.984
815,0.113,0.258,0.938
816,0.168,-0.191,1.121
817,0.117,-0.145,1.039
818,-0.047,0.016,0.988
819,-0.117,-0.156,1.004
820,-0.121,0.199,0.914
821,-0.004,0.191,1.004
822,-0.109,0.020,0.977
823,-0.191,-0.133,1.043
824,-0.207,-0.125,0.934
825,-0.023,0.145,1.031
826,0.035,0.180,1.043
827,0.117,0.070,1.020
828,0.047,-0.148,1.020
829,-0.113,0.082,0.914
830,0.016,0.047,1.012
831,0.086,0.141,0.898
832,0.262,0.078,1.086
833,0.121,-0.070,0.922
834,0.207,-0.070,1.160
835,-0.020,0.289,0.867
836,-0.008,-0.031,1.004
837,0.211,0.164,1.008
838,0.234,-0.078,1.121
839,0.203,-0.082,1.031
840,0.035,0.121,0.941
841,-0.020,-0.043,1.047
842,-0.035,0.125,0.957
843,0.008,0.078,1.016
844,-0.137,-0.074,0.941
845,-0.164,-0.012,1.055
846,-0.117,-0.051,0.953
847,-0.020,0.355,0.969
848,-0.039,-0.148,1.008
849,0.031,-0.012,1.055
