Sample,X,Y,Z
903,-0.055,-0.723,1.254
904,-0.195,0.488,0.922
905,0.012,0.805,0.730
906,0.203,-0.852,1.379
907,0.277,-0.281,1.102
908,0.242,0.773,0.641
909,-0.016,-0.977,1.332
910,-0.230,-0.102,0.840
911,0.227,0.715,0.922
912,0.199,-0.848,1.250
913,0.230,-0.387,1.000
914,0.316,0.512,0.953
915,0.020,-0.125,1.176
916,-0.047,0.449,0.398
917,0.172,0.945,1.039
918,0.035,-0.566,1.383
919,-0.082,-0.027,0.645
920,0.078,0.816,1.074
921,-0.215,-1.129,1.371
922,-0.039,-0.629,1.039
923,0.129,1.023,0.633
924,0.082,-0.738,1.219
925,-0.320,-0.336,1.012
926,-0.227,1.039,0.672
927,0.102,-0.254,1.000
928,0.176,-0.590,1.484
929,-0.090,0.777,0.684
930,0.094,-0.062,0.895
931,0.336,-0.340,1.809
932,0.059,0.371,0.762
933,0.188,0.773,0.613
934,0.156,-0.211,1.426
935,0.055,-0.609,0.793
936,0.383,0.734,0.785
937,-0.016,0.383,0.668
938,-0.148,-0.266,1.164
939,-0.129,0.492,0.781
940,-0.016,0.309,0.715
