Sample,X,Y,Z
766,0.363,-0.059,1.281
767,0.227,-0.090,1.043
768,0.270,0.359,0.746
769,0.328,0.105,0.844
770,0.191,-0.301,1.250
771,0.000,-0.277,0.961
772,-0.109,0.500,0.645
773,-0.168,-0.488,1.242
774,-0.098,-0.328,1.215
775,0.078,0.633,0.805
776,-0.109,0.355,0.926
777,-0.020,-0.055,1.312
778,0.066,-0.262,0.980
779,0.109,0.230,0.914
780,-0.137,0.320,0.848
781,-0.207,-0.676,1.133
782,-0.152,-0.102,1.121
783,-0.199,0.340,0.406
784,0.242,-0.461,1.297
785,0.082,-0.141,1.383
786,-0.129,0.301,0.668
787,0.164,0.125,1.070
788,0.250,0.074,1.145
789,0.305,-0.156,1.098
790,0.051,0.488,0.668
791,0.191,0.098,0.965
792,0.012,-0.473,1.285
793,-0.086,-0.152,0.844
794,0.090,0.324,0.484
795,0.254,-0.340,1.590
796,-0.246,0.051,0.898
797,-0.148,0.902,0.570
798,0.020,0.145,1.199
799,0.059,-0.902,1.520
800,0.062,0.383,0.688
801,0.023,0.551,0.902
802,-0.266,-0.801,1.109
803,-0.145,-0.266,1.070
804,0.062,0.594,0.773
805,0.031,-0.660,1.113
806,-0.055,-0.500,1.164
807,-0.020,0.363,1.031
808,0.066,0.242,0.871
809,0.191,-0.012,1.121
810,-0.082,0.859,1.074
811,0.023,-0.098,0.711
812,0.574,0.039,1.316
813,0.398,-0.145,1.012
814,-0.086,-0.070,0.586
815,-0.066,-0.352,1.160
816,-0.320,-0.250,0.918
817,-0.258,0.691,0.680
818,0.055,0.539,1.250
819,0.090,-0.551,1.305
820,0.195,0.898,0.867
821,0.152,0.652,0.902
822,0.125,-0.457,1.273
823,-0.047,0.551,0.715
824,-0.039,0.250,0.707
825,0.176,-0.941,1.359
826,-0.074,-0.375,1.121
827,-0.320,0.184,0.676
828,-0.219,-0.574,1.113
829,-0.105,-0.438,1.418
830,0.062,0.809,0.758
831,0.184,0.586,0.977
832,0.125,0.059,1.188
833,0.336,0.445,1.004
834,0.289,0.059,1.152
835,-0.062,-0.391,0.832
836,0.031,-0.406,0.855
837,0.035,-0.133,1.352
838,-0.195,0.391,0.230
839,0.238,0.824,0.910
840,0.066,-0.848,1.523
841,-0.016,0.465,0.605
842,0.402,1.203,0.918
843,0.074,-0.934,1.668
844,-0.105,-0.156,0.961
845,0.125,1.121,0.711
846,0.094,-1.125,1.180
847,0.008,-0.645,1.457
848,-0.367,0.570,0.355
849,-0.180,-0.461,0.934
850,-0.199,-1.000,1.539
851,-0.270,0.797,0.668
852,0.074,0.344,0.812
853,-0.039,-0.078,1.469
854,0.109,0.609,0.887
855,0.320,0.723,0.910
856,0.246,-0.492,1.070
857,0.191,0.441,0.730
858,0.102,-0.035,1.223
859,-0.215,-0.535,0.648
860,0.168,0.523,0.980
861,0.191,-0.305,1.238
862,-0.070,-0.430,1.074
863,0.016,0.535,0.953
864,0.121,-0.164,1.348
865,0.227,0.473,0.922
866,0.219,1.465,0.742
867,0.066,0.141,1.137
868,0.027,-0.488,1.055
869,-0.043,0.391,0.777
870,-0.168,-0.176,1.059
871,-0.371,-0.906,0.801
872,-0.145,0.340,1.219
873,-0.309,0.340,0.629
874,-0.008,-0.746,1.203
875,-0.102,0.707,1.051
876,-0.008,0.285,0.746
877,0.316,-0.539,1.320
878,0.270,0.500,1.141
879,0.082,0.102,0.691
880,-0.047,-0.578,1.324
881,-0.039,-0.031,0.844
882,0.418,0.059,1.066
883,0.293,-0.570,1.254
884,0.031,-0.199,0.762
885,0.238,0.363,1.164
886,-0.082,-0.004,0.805
887,0.141,0.324,0.742
888,0.266,0.715,1.176
889,-0.020,-0.762,1.016
890,-0.062,-0.023,0.828
891,-0.109,0.859,0.961
892,-0.152,-0.539,1.016
893,-0.023,-0.004,0.949
894,0.090,0.332,1.133
895,0.121,-0.926,1.164
896,-0.070,-0.281,1.137
897,-0.277,0.527,0.738
898,-0.035,-0.383,1.211
899,-0.016,-0.445,1.273
900,-0.129,0.695,0.574
901,0.246,-0.301,1.145
902,0.230,0.074,1.516
903,-0.094,0.578,0.570
904,0.156,0.676,0.938
905,0.301,-0.324,1.344
906,0.180,-0.055,0.805
907,0.402,0.523,0.777
908,0.211,0.000,0.875
909,-0.164,-0.082,1.039
910,-0.191,0.949,0.625
911,-0.055,-0.027,0.660
912,0.066,-0.680,1.625
913,-0.152,0.699,0.801
914,0.043,0.250,1.062
915,-0.020,-0.672,1.465
916,0.004,0.266,0.984
917,0.148,-0.008,0.953
918,-0.141,-0.312,1.035
919,-0.191,0.012,0.965
920,-0.090,-0.344,0.969
921,0.000,-0.203,0.930
922,0.082,-0.312,0.879
923,0.336,0.145,1.453
924,-0.207,0.234,0.746
925,0.062,-0.098,1.137
926,0.316,0.586,1.094
927,0.316,-0.289,0.945
928,0.223,0.051,0.965
929,0.176,0.473,0.770
930,-0.117,-0.723,0.957
931,-0.203,0.441,0.750
932,-0.055,0.562,0.734
933,-0.137,-0.805,1.207
934,-0.086,0.391,1.219
935,0.039,0.367,0.914
936,0.047,-0.090,1.297
937,-0.078,0.277,1.059
938,0.211,-0.059,1.133
939,0.211,-0.461,1.094
940,-0.059,0.082,0.777
